,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,0.5623540878295898,0.02781746382290321,0.007484841346740723,0.004210770725807328,0.001,5,100,"{'learning_rate': 0.001, 'max_depth': 5, 'n_estimators': 100}",-20.697633923310843,-19.657630112744165,-18.353525876816253,-15.196556171429428,-20.85130176112882,-18.267603715004018,-25.09554723880435,-17.37194054936801,-27.89227069431191,-19.964815627449923,-20.334882567036775,3.523532047736003,97
1,1.0495201349258423,0.03330810688060475,0.009625864028930665,0.004475004779317744,0.001,5,200,"{'learning_rate': 0.001, 'max_depth': 5, 'n_estimators': 200}",-16.729154387963277,-16.119319594279954,-14.2431868018499,-12.349917691031537,-16.771482774746385,-14.725091313676236,-20.385355885112332,-14.039261282127425,-22.873132772877568,-16.74840954425143,-16.498431204791604,2.959181499198427,93
2,2.228246331214905,0.04232843074695832,0.014407801628112792,0.0034055710557427793,0.001,5,500,"{'learning_rate': 0.001, 'max_depth': 5, 'n_estimators': 500}",-8.815501922275404,-8.992463012902057,-6.574967046654192,-6.603261188010047,-8.704923232681493,-7.685877040736923,-10.91451371124866,-7.302234661815627,-12.184384213812406,-10.039168776588879,-8.781729480672569,1.7539883642910465,92
3,4.501695060729981,0.12821785088830728,0.025481796264648436,0.00563779837461274,0.001,5,1000,"{'learning_rate': 0.001, 'max_depth': 5, 'n_estimators': 1000}",-2.701303158653973,-3.148984976452744,-1.5202211916770554,-2.2372127007169236,-2.622536321071836,-2.2614910934563057,-3.6196294182634308,-2.146561968303916,-4.01153098200722,-4.300916349658572,-2.8570388160261975,0.8481967172043662,88
4,9.291883325576782,0.08875333061431032,0.05731854438781738,0.009817128604722083,0.001,5,2000,"{'learning_rate': 0.001, 'max_depth': 5, 'n_estimators': 2000}",0.19805714333738278,-0.027155469103652404,0.38468304028063693,0.08292883562409992,0.27019042880669586,0.32751777520929837,0.09341741554897731,0.3921857761523856,0.13255520895997885,-0.7108856364928404,0.1143494518322963,0.3049263587291871,77
5,0.552376103401184,0.0701399908635806,0.005811715126037597,0.0018020483288415491,0.001,10,100,"{'learning_rate': 0.001, 'max_depth': 10, 'n_estimators': 100}",-20.697633923310843,-19.701014916845743,-18.353525876816253,-15.196789529488338,-20.843948463180443,-18.256939836314725,-25.12353983980771,-17.374329788399702,-27.907885615720534,-19.967468145151976,-20.342307593503627,3.530114356127286,98
6,1.065637969970703,0.09279639268888344,0.009306597709655761,0.004676708507327666,0.001,10,200,"{'learning_rate': 0.001, 'max_depth': 10, 'n_estimators': 200}",-16.729154387963277,-16.215352523107754,-14.253707013887709,-12.35079694985217,-16.767155846864394,-14.718436456681625,-20.43867411787863,-14.04889878516511,-22.792679519671026,-16.75494852729311,-16.50698041283648,2.946590792004664,94
7,2.786954402923584,0.08559027037709038,0.01394963264465332,0.0017341366623522072,0.001,10,500,"{'learning_rate': 0.001, 'max_depth': 10, 'n_estimators': 500}",-8.814504247369204,-9.024351543085784,-6.5180148401563285,-6.608632296908768,-8.712786154041657,-7.729259664013138,-10.998567416775682,-7.317761238061497,-12.031302191914046,-10.032272356276813,-8.778745194860292,1.737820634346619,89
8,6.036769390106201,0.19186852904343876,0.03211596012115479,0.006330794109750364,0.001,10,1000,"{'learning_rate': 0.001, 'max_depth': 10, 'n_estimators': 1000}",-2.762961535243575,-3.1747753695334424,-1.4520462890123844,-2.24686126893047,-2.628394089710096,-2.2942463002061815,-3.675125859270661,-2.148850907662931,-3.7966559616870854,-4.2848554213108985,-2.8464773002567725,0.8316467534562552,87
9,14.309646582603454,0.1633476854738038,0.08650074005126954,0.027557114263645686,0.001,10,2000,"{'learning_rate': 0.001, 'max_depth': 10, 'n_estimators': 2000}",0.012132560227660183,-0.060221732992592265,0.45357749334701014,0.04444404944787028,0.26041105429193934,0.3859265881181916,0.06449955438301547,0.41392613103449616,0.15511689576854748,-0.670411879218656,0.10594007144074824,0.31064615030755244,80
10,0.556712555885315,0.07339309313751761,0.004959654808044433,0.0007002926437914907,0.001,15,100,"{'learning_rate': 0.001, 'max_depth': 15, 'n_estimators': 100}",-20.697633923310843,-19.701014916845743,-18.353525876816253,-15.196789529488338,-20.843948463180443,-18.256939836314725,-25.12353983980771,-17.374329788399702,-27.907885615720534,-19.967468145151976,-20.342307593503627,3.530114356127286,98
11,1.057696557044983,0.055971936453975,0.008800435066223144,0.004490161687725095,0.001,15,200,"{'learning_rate': 0.001, 'max_depth': 15, 'n_estimators': 200}",-16.729154387963277,-16.215352523107754,-14.253707013887709,-12.35079694985217,-16.767155846864394,-14.718436456681625,-20.43867411787863,-14.04889878516511,-22.792679519671026,-16.75494852729311,-16.50698041283648,2.946590792004664,94
12,2.8628563404083254,0.06731572930609872,0.014689159393310548,0.0026971277100430427,0.001,15,500,"{'learning_rate': 0.001, 'max_depth': 15, 'n_estimators': 500}",-8.814504247369204,-9.024351543085784,-6.5180148401563285,-6.608632296908768,-8.712786154041657,-7.729259664013138,-10.998567416775682,-7.317761238061497,-12.031302191914046,-10.032272356276813,-8.778745194860292,1.737820634346619,89
